iter	Passed	Remaining
485	661	699
486	663	699
487	665	697
488	665	695
489	667	695
490	670	694
491	671	693
492	672	691
493	674	690
494	674	688
495	676	687
496	677	686
497	679	685
498	681	684
499	683	683
500	685	682
501	687	681
502	689	680
503	691	680
504	693	679
505	695	679
506	697	678
507	699	677
508	701	676
509	703	675
510	705	674
511	707	674
512	709	673
513	711	672
514	713	672
515	716	671
516	718	670
517	720	670
518	722	669
519	724	668
520	726	667
521	728	666
522	730	666
523	733	666
524	735	665
525	738	665
526	740	664
527	741	663
528	742	661
529	744	660
530	746	658
531	747	657
532	749	656
533	751	656
534	753	655
535	755	653
536	756	652
537	757	650
538	759	649
539	761	648
540	763	647
541	765	646
542	766	645
543	769	644
544	771	644
545	773	643
546	775	642
547	777	640
548	778	639
549	780	638
550	782	637
551	784	636
552	785	634
553	787	633
554	788	632
555	791	631
556	793	630
557	794	629
558	796	628
559	798	627
560	800	626
561	802	625
562	805	624
563	806	623
564	807	621
565	809	620
566	812	620
567	813	618
568	814	616
569	815	615
570	817	614
571	819	613
572	821	612
573	822	610
574	824	609
575	825	607
576	827	606
577	829	605
578	831	604
579	833	603
580	835	602
581	837	601
582	838	600
583	841	599
584	843	598
585	844	596
586	845	594
587	847	593
588	849	592
589	852	592
590	853	590
591	855	589
592	857	588
593	858	587
594	860	585
595	863	585
596	865	584
597	868	583
598	870	582
599	872	581
600	873	579
601	875	578
602	876	577
603	878	575
604	879	574
605	882	573
606	883	572
607	885	570
608	886	569
609	888	568
610	890	567
611	893	566
612	895	565
613	898	564
614	900	563
615	903	562
616	904	561
617	906	560
618	908	559
619	910	557
620	912	556
621	913	555
622	915	553
623	917	552
624	918	551
625	920	550
626	923	549
627	924	547
628	926	546
629	928	545
630	930	543
631	931	542
632	933	541
633	935	540
634	937	538
635	939	537
636	941	536
637	943	535
638	944	533
639	946	532
640	948	531
641	950	529
642	952	528
643	954	527
644	956	526
645	958	525
646	960	523
647	962	522
648	964	521
649	965	520
650	967	518
651	969	517
652	971	515
653	973	514
654	975	513
655	976	512
656	978	510
657	980	509
658	982	508
659	984	507
660	986	506
661	988	504
662	990	503
663	992	502
664	994	501
665	996	499
666	998	498
667	1000	497
668	1002	495
669	1003	494
670	1005	492
671	1007	491
672	1009	490
673	1010	488
674	1012	487
675	1014	486
676	1015	484
677	1017	483
678	1018	481
679	1020	480
680	1022	479
681	1024	477
682	1026	476
683	1028	475
684	1030	473
685	1031	472
686	1034	471
687	1036	469
688	1038	468
689	1039	467
690	1042	465
691	1044	464
692	1046	463
693	1048	462
694	1050	460
695	1052	459
696	1054	458
697	1057	457
698	1058	455
699	1060	454
700	1062	453
701	1064	451
702	1066	450
703	1068	449
704	1070	447
705	1071	446
706	1073	444
707	1075	443
708	1077	442
709	1080	441
710	1081	439
711	1084	438
712	1087	437
713	1090	436
714	1093	435
715	1096	434
716	1099	433
717	1102	432
718	1105	432
719	1108	430
720	1110	429
721	1112	428
722	1115	427
723	1117	425
724	1119	424
725	1121	423
726	1124	422
727	1126	420
728	1128	419
729	1130	418
730	1132	416
731	1135	415
732	1137	414
733	1139	412
734	1141	411
735	1143	410
736	1145	408
737	1147	407
738	1149	405
739	1151	404
740	1152	402
741	1154	401
742	1156	400
743	1158	398
744	1160	397
745	1162	395
746	1164	394
747	1166	393
748	1168	391
749	1170	390
750	1172	388
751	1174	387
752	1176	385
753	1178	384
754	1179	382
755	1181	381
756	1183	379
757	1186	378
758	1188	377
759	1190	375
760	1192	374
761	1194	373
762	1196	371
763	1198	370
764	1200	368
765	1202	367
766	1204	365
767	1206	364
768	1209	363
769	1211	361
770	1212	360
771	1215	358
772	1217	357
773	1219	355
774	1220	354
775	1222	352
776	1224	351
777	1226	350
778	1228	348
779	1230	346
780	1232	345
781	1234	344
782	1236	342
783	1238	341
784	1240	339
785	1241	338
786	1243	336
787	1245	335
788	1247	333
789	1248	331
790	1250	330
791	1251	328
792	1253	327
793	1255	325
794	1256	324
795	1258	322
796	1259	320
797	1261	319
798	1262	317
799	1264	316
800	1266	314
801	1268	313
802	1270	311
803	1271	310
804	1274	308
805	1276	307
806	1278	305
807	1280	304
808	1283	302
809	1285	301
810	1287	300
811	1289	298
812	1291	296
813	1293	295
814	1295	293
815	1297	292
816	1299	291
817	1301	289
818	1303	288
819	1305	286
820	1307	285
821	1309	283
822	1312	282
823	1314	280
824	1316	279
825	1318	277
826	1319	276
827	1321	274
828	1323	273
829	1326	271
830	1327	270
831	1329	268
832	1331	266
833	1333	265
834	1335	263
835	1337	262
836	1339	260
837	1341	259
838	1343	257
839	1344	256
840	1347	254
841	1348	253
842	1350	251
843	1351	249
844	1353	248
845	1354	246
846	1356	245
847	1358	243
